side,entry_price,exit_price,size,entry_time,exit_time,pnl,status,stop_loss,take_profit
sell,115316.91,113969.71,0.043358775395559934,1970-01-01T00:29:14.344800,1970-01-01T00:29:14.377200,58.412942212898216,filled,117623.2482,110704.23359999999
buy,113969.71,114270.16,0.04412757101081023,1970-01-01T00:29:14.377200,1970-01-01T00:29:14.485200,13.258128710197806,filled,111690.31580000001,118528.49840000001
sell,114270.16,116390.01,0.04406955880224153,1970-01-01T00:29:14.485200,1970-01-01T00:29:14.568000,-93.42085422693133,filled,116555.5632,109699.3536
buy,116390.01,116689.81,0.04286557848348052,1970-01-01T00:29:14.568000,1970-01-01T00:29:14.578800,12.851100429347586,filled,114062.2098,121045.6104
sell,116689.81,116544.4,0.042810513262149935,1970-01-01T00:29:14.578800,1970-01-01T00:29:14.647200,6.225076733449372,filled,119023.6062,112022.21759999999
buy,116544.4,116739.22,0.042890633929467924,1970-01-01T00:29:14.647200,1970-01-01T00:29:14.715600,8.355953302139241,filled,114213.51199999999,121206.17599999999
sell,116739.22,116524.1,0.04285484495768047,1970-01-01T00:29:14.715600,1970-01-01T00:29:14.773200,9.218934247296025,filled,119074.0044,112069.6512
buy,116524.1,118485.45,0.042973519132129746,1970-01-01T00:29:14.773200,1970-01-01T00:29:14.798400,84.2861117498023,filled,114193.618,121185.06400000001
sell,118485.45,118351.16,0.04261783785755213,1970-01-01T00:29:14.798400,1970-01-01T00:29:14.856000,5.723149445890403,filled,120855.159,113746.03199999999
buy,118351.16,119786.01,0.042690373894958396,1970-01-01T00:29:14.856000,1970-01-01T00:29:14.874000,61.25428298318068,filled,115984.13680000001,123085.20640000001
sell,119786.01,121742.06,0.04243469177071376,1970-01-01T00:29:14.874000,1970-01-01T00:29:14.881200,-83.00437883810477,filled,122181.73019999999,114994.56959999999
buy,121742.06,119089.3,0.0414119838564797,1970-01-01T00:29:14.881200,1970-01-01T00:29:14.938800,-109.85605429511487,filled,119307.2188,126611.7424
buy,118949.3,119725.61,0.04192250140376635,1970-01-01T00:29:14.956800,1970-01-01T00:29:15.043200,32.54485706475776,filled,116570.314,123707.27200000001
sell,119725.61,122754.01,0.041786587053174375,1970-01-01T00:29:15.043200,1970-01-01T00:29:15.111600,-126.54650023183304,filled,122120.1222,114936.58559999999
buy,118872.27,118836.28,0.04155427817306331,1970-01-01T00:29:15.172800,1970-01-01T00:29:15.180000,-1.495538471448766,filled,116494.8246,123627.16080000001
sell,118836.28,118255.0,0.04156057060527108,1970-01-01T00:29:15.180000,1970-01-01T00:29:15.183600,24.158328481431926,filled,121213.0056,114082.82879999999
buy,118255.0,117780.99,0.041867005789594354,1970-01-01T00:29:15.183600,1970-01-01T00:29:15.262800,-19.8453794143254,filled,115889.9,122985.2
sell,117780.99,117251.81,0.04195125274410851,1970-01-01T00:29:15.262800,1970-01-01T00:29:15.270000,22.19976392712766,filled,120136.6098,113069.7504
buy,117251.81,117586.91,0.0422352538686173,1970-01-01T00:29:15.270000,1970-01-01T00:29:15.277200,14.153033571373903,filled,114906.7738,121941.8824
sell,117586.91,116886.0,0.042175072707417584,1970-01-01T00:29:15.277200,1970-01-01T00:29:15.284400,29.560930211356204,filled,119938.64820000001,112883.4336
buy,116886.0,117320.02,0.042554428621017444,1970-01-01T00:29:15.284400,1970-01-01T00:29:15.291600,18.469473110094164,filled,114548.28,121561.44
sell,117320.02,117342.05,0.042475714548559515,1970-01-01T00:29:15.291600,1970-01-01T00:29:15.298800,-0.9357399915047167,filled,119666.4204,112627.2192
buy,117342.05,118429.99,0.04246375285207256,1970-01-01T00:29:15.298800,1970-01-01T00:29:15.435600,46.19801527788392,filled,114995.209,122035.732
sell,118429.99,117700.0,0.0422687092854984,1970-01-01T00:29:15.435600,1970-01-01T00:29:15.464400,30.855735091321197,filled,120798.5898,113692.7904
buy,117700.0,115325.99,0.04266194295276247,1970-01-01T00:29:15.464400,1970-01-01T00:29:15.486000,-101.2798791892874,filled,115346.0,122408.0
buy,115621.86,115509.42,0.04299075231920244,1970-01-01T00:29:15.493200,1970-01-01T00:29:15.518400,-4.8338801907712226,filled,113309.4228,120246.7344
sell,115509.42,114917.27,0.04301167650093051,1970-01-01T00:29:15.518400,1970-01-01T00:29:15.522000,25.46936424002575,filled,117819.6084,110889.0432
buy,114917.27,116649.0,0.04334412476010025,1970-01-01T00:29:15.522000,1970-01-01T00:29:15.550800,75.06032117080824,filled,112618.9246,119513.96080000002
sell,116649.0,114841.18,0.04302238894937402,1970-01-01T00:29:15.550800,1970-01-01T00:29:15.572400,77.77673519045764,filled,118981.98,111983.04
buy,114841.18,115300.0,0.04403827108142531,1970-01-01T00:29:15.572400,1970-01-01T00:29:15.576000,20.205639537579867,filled,112544.35639999999,119434.8272
sell,115300.0,115322.69,0.04395064905394231,1970-01-01T00:29:15.576000,1970-01-01T00:29:15.594000,-0.9972402270340534,filled,117606.0,110688.0
buy,115322.69,113906.0,0.04393767796958284,1970-01-01T00:29:15.594000,1970-01-01T00:29:15.612000,-62.24606900272841,filled,113016.2362,119935.59760000001
sell,113906.0,113763.44,0.044210912342674366,1970-01-01T00:29:15.612000,1970-01-01T00:29:15.615600,6.302707663571555,filled,116184.12,109349.76
buy,113763.44,113419.1,0.044294015152288396,1970-01-01T00:29:15.615600,1970-01-01T00:29:15.637200,-15.252201177538831,filled,111488.1712,118313.97760000001
sell,113419.1,112878.49,0.044361253391604086,1970-01-01T00:29:15.637200,1970-01-01T00:29:15.644400,23.98213719603511,filled,115687.482,108882.336
buy,112878.49,113207.04,0.044679943035610244,1970-01-01T00:29:15.644400,1970-01-01T00:29:15.648000,14.679595284349226,filled,110620.92020000001,117393.62960000001
sell,113207.04,112980.01,0.04461510786597614,1970-01-01T00:29:15.648000,1970-01-01T00:29:15.651600,10.128967938812512,filled,115471.1808,108678.75839999999
buy,112980.01,114595.19,0.04474958698231025,1970-01-01T00:29:15.651600,1970-01-01T00:29:15.727200,72.2786379020882,filled,110720.4098,117499.2104
sell,114595.19,113095.3,0.0444342219224762,1970-01-01T00:29:15.727200,1970-01-01T00:29:15.777600,66.64644511930281,filled,116887.0938,110011.3824
buy,113095.3,112774.77,0.04531816376337459,1970-01-01T00:29:15.777600,1970-01-01T00:29:15.788400,-14.525831031074404,filled,110833.394,117619.11200000001
sell,112774.77,112511.2,0.04538256571706987,1970-01-01T00:29:15.788400,1970-01-01T00:29:15.813600,11.961482846048423,filled,115030.2654,108263.7792
buy,112511.2,113153.95,0.04554203627883681,1970-01-01T00:29:15.813600,1970-01-01T00:29:15.828000,29.272143818222357,filled,110260.976,117011.648
sell,113153.95,115865.24,0.04541268973893156,1970-01-01T00:29:15.828000,1970-01-01T00:29:15.871200,-123.12697156226812,filled,115417.029,108627.79199999999
buy,116160.97,116453.59,0.0437071224379707,1970-01-01T00:29:15.878400,1970-01-01T00:29:15.910800,12.789578167798783,filled,113837.7506,120807.4088
sell,116453.59,115568.95,0.04365220966899638,1970-01-01T00:29:15.910800,1970-01-01T00:29:15.918000,38.616490761580934,filled,118782.6618,111795.44639999999
buy,115568.95,115325.82,0.04415342332666457,1970-01-01T00:29:15.918000,1970-01-01T00:29:15.979200,-10.73502181341152,filled,113257.571,120191.708
sell,115325.82,115028.0,0.04419996547053752,1970-01-01T00:29:15.979200,1970-01-01T00:29:15.982800,13.163633716435793,filled,117632.33640000001,110712.7872
buy,115028.0,114521.45,0.04437162324581531,1970-01-01T00:29:15.982800,1970-01-01T00:29:16.044000,-22.476445755167877,filled,112727.44,119629.12000000001
sell,114521.45,114404.65,0.04446975528027334,1970-01-01T00:29:16.044000,1970-01-01T00:29:16.047600,5.194067416736055,filled,116811.879,109940.59199999999
buy,114404.65,114275.1,0.044537856542985164,1970-01-01T00:29:16.047600,1970-01-01T00:29:16.051200,-5.76987931514321,filled,112116.55699999999,118980.836
